Category	Marathi	Ambiguous
जागा	मुलांसाठी पार्क हे उत्तम खेळण्याचे स्थळ आहे.	स्थळ 
जागा	पर्यटन स्थळांवरील गर्दी पाहून आश्चर्य वाटले.	स्थळ 
जागा	ऐतिहासिक स्थळांवर जपून वागले पाहिजे.	स्थळ 
जागा	हे धार्मिक स्थळ अतिशय पवित्र मानले जाते.	स्थळ 
जागा	आम्ही नुकतेच एका ऐतिहासिक स्थळी भेट दिली.	स्थळ 
जागा	माझ्या आजी-आजोबांनी अनेक धार्मिक स्थळांना भेट दिली आहे.	स्थळ 
जागा	हे स्थळ स्वच्छ आणि शांत आहे.	स्थळ 
जागा	नवीन हॉटेलसाठी योग्य स्थळ निवडले आहे.	स्थळ 
जागा	अगदी पहाटेच अंधार असतानाच त्याने घर सोडले आणि एका शांत स्थळी जाऊन प्रार्थना केली.	स्थळ 
जागा	आपण कुठल्या स्थळी भेटायचे आहे?	स्थळ 
जागा	प्रवासासाठी सुरक्षित स्थळ निवडा.	स्थळ 
जागा	कंपनीसाठी नवीन स्थळ बघतोय.	स्थळ 
जागा	या स्थळी वाहन पार्क करणे परवानगी आहे का?	स्थळ 
जागा	पर्यटन स्थळे पाहण्याची मला आवड आहे.	स्थळ 
जागा	येथे धार्मिक स्थळे आहेत.	स्थळ 
जागा	जंगल सफारीसाठी उत्तम स्थळ कोणते आहे?	स्थळ 
जागा	हिल स्टेशन हे थंड हवेचे स्थळ आहे.	स्थळ 
जागा	हे फोटो कशा स्थळी घेतले आहेत?	स्थळ 
जागा	आम्ही ट्रेकिंगसाठी चांगले स्थळ शोधत आहोत.	स्थळ 
जागा	ऐतिहासिक स्थळे पाहण्यासाठी गर्दी असते.	स्थळ 
जागा	हे स्थळ पर्यटकांसाठी प्रसिद्ध आहे.	स्थळ 
जागा	काही स्थळे रात्री उघडी असतात का?	स्थळ 
जागा	माझे आवडते पर्यटन स्थळ महाबळेश्वर आहे.	स्थळ 
जागा	ताजमहाल एक प्रसिद्ध ऐतिहासिक स्थळ आहे.	स्थळ 
जागा	देवस्थान हे एक पवित्र स्थळ आहे.	स्थळ 
जागा	मुलांसाठी खेळण्याचे स्थळ आवश्यक आहे.	स्थळ 
जागा	ट्रेकिंगसाठी साहसी स्थळ कोणते आहे?	स्थळ 
जागा	नवीन घरासाठी चांगले स्थळ बघायचे आहे.	स्थळ 
जागा	ऑफिससाठी योग्य स्थळ कुठे आहे?	स्थळ 
जागा	हे स्थळ फार गर्दीचे आहे.	स्थळ 
जागा	रेल्वे स्थानक हे महत्त्वाचे सार्वजनिक स्थळ आहे.	स्थळ 
जागा	शांत आणि सुंदर स्थळ हवे आहे.	स्थळ 
जागा	हे स्थळ कुटुंबासोबत भेट देण्यासारखे आहे.	स्थळ 
जागा	निसर्गरम्य स्थळे पाहण्याची मला आवड आहे.	स्थळ 
जागा	आमचे गाव एक सुंदर स्थळ आहे.	स्थळ 
जागा	उन्हाळ्यात थंड स्थळांना भेट द्या.	स्थळ 
जागा	बाजारपेठेतील स्थळ खूप गर्दीचे आहे.	स्थळ 
जागा	नव्या व्यवसायासाठी सर्वोत्तम स्थळ कोणते?	स्थळ 
जागा	हे स्थळ खूप स्वच्छ आणि व्यवस्थित आहे.	स्थळ 
जागा	धार्मिक स्थळी शांतता आवश्यक असते.	स्थळ 
जागा	तुम्ही कुठल्या स्थळी राहत आहात?	स्थळ 
जागा	छायाचित्रणासाठी उत्तम स्थळ कुठले आहे?	स्थळ 
जागा	लग्नासाठी उंच डोंगरावरील स्थळ निवडले आहे.	स्थळ 
जागा	आम्ही पिकनिकसाठी योग्य स्थळ निवडले आहे.	स्थळ 
जागा	ऑफिससाठी केंद्रस्थळी असलेले स्थळ हवे आहे.	स्थळ 
जागा	पर्यटन स्थळांवर स्वच्छता ठेवावी.	स्थळ 
जागा	तीर्थयात्रेसाठी हे एक प्रसिद्ध स्थळ आहे.	स्थळ 
जागा	शहराच्या बाहेर एक सुंदर स्थळ आहे.	स्थळ 
जागा	तिकडे जाण्यासाठी योग्य स्थळ नाही.	स्थळ 
जागा	नदीकाठी एक सुंदर स्थळ आहे.	स्थळ 
जागा	गावातील शांत स्थळ खूप आवडले.	स्थळ 
जागा	हा परिसर ऐतिहासिक स्थळ म्हणून ओळखला जातो.	स्थळ 
जागा	या स्थळाला जाण्यासाठी बस उपलब्ध आहे.	स्थळ 
जागा	चांगल्या शाळेसाठी योग्य स्थळ निवडणे गरजेचे आहे.	स्थळ 
जागा	फिल्म शूटिंगसाठी हे सुंदर स्थळ आहे.	स्थळ 
जागा	उद्यान हे उत्तम विश्रांती स्थळ आहे.	स्थळ 
